Comment,Time,zan
“感情这东西 玩的明白的都单身”,1月8日 22:49  来自浙江,440
江南第一ikun：,2月3日 23:58  来自云南,20
你是在说我吗我单身19年了,5月26日 21:16  来自河南,10
你是在说我吗我单身19年了,1月11日 22:26  来自四川,321
。。。。：,6月5日 20:28  来自福建,62
单身没啥不好，不用爱个爱不到的人，无爱一身轻,3月16日 19:03  来自广东,52
单身没啥不好，不用爱个爱不到的人，无爱一身轻,3月16日 14:41  来自广东,188
没有人说嘛？我真的就得这首歌的封面超级好看,2022年12月22日 18:18  来自河南,28
李泽言今天吻我了吗：,2022年10月27日 23:09  来自广西,5
我觉得好恐怖…（个人感觉啊啊！,2022年12月12日 14:49  来自甘肃,94
我觉得好恐怖…（个人感觉啊啊！,2022年12月24日 16:05  来自辽宁,85
A-YIN'：,2022年8月14日 15:59  来自四川,2021
这个歌手超美的啊，完全长在我审美上，好喜欢好喜欢！,2022年12月10日 13:36  来自湖南,160
这个歌手超美的啊，完全长在我审美上，好喜欢好喜欢！,2022年12月28日 13:13  来自甘肃,64
还行听到后面感觉想是重生一样，就像每天早上起来来了一发，重获新生的感觉，有的时候很疼但是感觉很棒,2022年12月28日 08:21  来自江苏,1624
？：,2022年8月25日 10:29  来自河南,40
,2022年12月22日 09:02  来自上海,15
你是懂重获新生的,2022年12月22日 21:25  来自安徽,9410
你是懂重获新生的,2022年12月30日 09:07  来自河南,472
🤨：,2022年6月23日 15:52  ,313
,16:40  来自广东,4785
疼就歇歇吧，好兄弟。,13:56  来自广东,165
疼就歇歇吧，好兄弟。,09:41  来自山东,18
慵懒中夹杂着一丝暧昧。,09:40  来自山东,2811
第一次听就爱上了，这首歌听起来给我的感觉是一种在密闭的大别墅独自吟唱和感伤的暗黑情绪歌手的嗓音我很爱，配合这首歌更是一绝这个视频我听着是悲伤的情绪冲淡了一些，增添了一点悠然抒情的感觉也是很不一样的听感,7月1日 22:35  来自宁夏,40
叮咚！今天我们邀请到了Ari Abdul独家献唱《BABYDOLL》她在在灯光昏暗微醺的卧室背景中，还原了加速版的封面视觉，暗黑哥特风兼具浪漫凄美，让人一下子就沉溺于歌曲的氛围中！如果你也喜欢这种风格，欢迎扫码观看Live现场>>,7月1日 17:03  来自陕西,32
桜島麻衣の先輩：,7月1日 16:27  来自山东,1481
"整首歌听完了，心里有很大触动，迸发出无数的热情，让我有一种感觉一定要做点什么的激情!

于是，我在床上翻了个身

然后发现充电器太短又翻回来了。",7月1日 15:13  来自吉林,74
"整首歌听完了，心里有很大触动，迸发出无数的热情，让我有一种感觉一定要做点什么的激情!

于是，我在床上翻了个身

然后发现充电器太短又翻回来了。",7月1日 14:34  来自江苏,27
桑芊：,7月1日 14:27  来自内蒙古,1464
好纯好欲，真的爱了这个封面,7月1日 14:26  来自四川,118
好纯好欲，真的爱了这个封面,7月1日 14:08  来自广西,26
恭喜Ari Abdul-《BABYDOLL (Speed) 》达成百万收藏！,7月1日 11:26  来自黑龙江,1036
喜欢下雨.：,7月1日 10:06  来自江苏,96
见证从1w加到100w＋,7月1日 09:28  来自广东,55
见证从1w加到100w＋,7月1日 08:59  来自山东,995
M：,7月1日 08:54  来自上海,159
收藏的时候还好少点赞居然马上就100了！！！,6月30日 22:31  来自湖北,108
收藏的时候还好少点赞居然马上就100了！！！,6月30日 20:38  来自山东,513
“要是有人不贪恋你的身体，只喜欢你的灵魂，绝对是在扯淡”,6月30日 20:34  来自江苏,17
白州 浬：,6月30日 20:32  来自安徽,5
既喜欢灵魂，也贪恋肉体,6月30日 17:23  来自江苏,419
既喜欢灵魂，也贪恋肉体,6月29日 23:38  来自浙江,32
爱丽安娜格兰德：,6月29日 20:45  来自四川,15
原句好像是“any guy who says he's interested in you beyond just fking you，is full of 谢特.”，这个翻译文艺多了，也少了很多攻击性,6月29日 19:07  来自山东,374
原句好像是“any guy who says he's interested in you beyond just fking you，is full of 谢特.”，这个翻译文艺多了，也少了很多攻击性,6月29日 18:37  来自北京,342
虽然不想但是我预言这首歌必火,6月29日 16:56  来自广东,28
GD/18：,6月29日 11:35  来自浙江,7
已经火了抖音来的🫦🫦太好听了,6月28日 22:44  来自河南,139
已经火了抖音来的🫦🫦太好听了,6月28日 18:24  来自山东,29
Exoplanet ：,6月28日 16:22  来自广东,14
我也觉得我也觉得,6月28日 16:04  来自山东,114
我也觉得我也觉得,6月28日 14:10  来自云南,
为什么要假装无欲无求呢？告诉你 从你的发丝到指尖 你的每一寸我都想占有 爱哪里是神殿 分明是十里扬州 灯火不休,6月27日 22:56  来自河南,1
ｏ＇ｏ：,6月27日 09:21  来自内蒙古,1
你接受的赞美你也没有反驳 所以不能在后面标一句非原创吗,6月27日 00:11  来自广东,1
你接受的赞美你也没有反驳 所以不能在后面标一句非原创吗,6月26日 22:54  来自江苏,4
我哪里说我是原创了觉得这段文字和这首很搭 有问题吗,6月26日 17:44  来自江苏,1
onlyinthehouse：,6月26日 14:00  来自浙江,1
,6月26日 12:03  来自上海,3
宝宝们 评论的时候没想到会有这么多人看 不是原创哈 想用就拿去用就好,6月26日 09:57  来自上海,2
宝宝们 评论的时候没想到会有这么多人看 不是原创哈 想用就拿去用就好,6月26日 07:10  来自上海,1
慵懒的声线➕慢节奏，这是想让我上瘾吗,6月25日 20:00  来自广西,1
duvet：,6月25日 18:41  来自湖南,
可恶，封面的色调我也好爱,6月25日 16:53  来自山东,
可恶，封面的色调我也好爱,6月25日 14:08  来自北京,
xxx：,6月25日 10:22  来自上海,
有煤氣波的内味《墨西哥口红》《西伯利亚眼影》,6月25日 01:40  来自陕西,
有煤氣波的内味《墨西哥口红》《西伯利亚眼影》,6月24日 23:18  来自湖南,1
可恶，封面的色调我也好爱,6月24日 22:45  来自湖北,
直说了、喜欢这首歌的都是我姐妹！,6月24日 21:11  来自湖南,
永远AT：,6月24日 18:18  来自贵州,
完了，听个歌要变女的了,6月24日 18:12  来自广西,
完了，听个歌要变女的了,6月24日 18:12  来自河南,
C🐰：,6月24日 18:11  来自湖北,1
谁说姐妹就一定是女的？,6月24日 16:05  来自安徽,
谁说姐妹就一定是女的？,6月24日 12:20  来自福建,
